Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_duplication	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_rate	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_q30_bases	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-filtering_result_passed_filter_reads	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-after_filtering_gc_content	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_surviving	FastP (Read preprocessing)_mqc-generalstats-fastp_read_preprocessing-pct_adapter	GATK4 MarkDuplicates: Mark Duplicates_mqc-generalstats-gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-error_rate	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-non_primary_alignments	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_mapped_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_properly_paired_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-reads_MQ0_percent	Samtools Flagstat: stats_mqc-generalstats-samtools_flagstat_stats-raw_total_sequences	Mosdepth_mqc-generalstats-mosdepth-1_x_pc	Mosdepth_mqc-generalstats-mosdepth-5_x_pc	Mosdepth_mqc-generalstats-mosdepth-10_x_pc	Mosdepth_mqc-generalstats-mosdepth-30_x_pc	Mosdepth_mqc-generalstats-mosdepth-50_x_pc	Mosdepth_mqc-generalstats-mosdepth-median_coverage
P33410_1015-L003							1.03354	0.949621	10356878775.0	78981632.0	0.411851	98.73550163248991	28.825086559918184														
P33410_1015-L003.md														0.010555													
P33410_1015-L003_1	2.9948822558380357	42.0	151.0	151	18.181818181818183	39996572.0																					
P33410_1015-L003_2	3.2825805410087128	42.0	151.0	151	18.181818181818183	39996572.0																					
P33410_1015.md															0.00415052	0.0	78961244.0	99.97418640323866	96.08657111567408	3.099875170976462	78981632.0	90.0	28.999999999999996	2.0	0	0	3
P33410_1016-L003							1.1299	0.950344	10590710080.0	78879432.0	0.408956	98.6260867077585	22.874910113077725														
P33410_1016-L003.md														0.012128													
P33410_1016-L003_1	3.1232000658193613	41.0	151.0	151	18.181818181818183	39989132.0																					
P33410_1016-L003_2	3.44420992871855	41.0	151.0	151	18.181818181818183	39989132.0																					
P33410_1016.md															0.004133399	0.0	78857419.0	99.97209285178423	95.5379496140388	2.859390518937814	78879432.0	87.0	31.0	3.0	0	0	3
P33410_1017-L003							0.956656	0.949847	10379661588.0	78900530.0	0.4107	98.63660129908408	28.109021040433387														
P33410_1017-L003.md														0.008748													
P33410_1017-L003_1	2.9611641808097033	42.0	151.0	151	18.181818181818183	39995564.0																					
P33410_1017-L003_2	3.2501037311381253	42.0	151.0	151	18.181818181818183	39995564.0																					
P33410_1017.md															0.004181571	0.0	78875071.0	99.96773278962765	95.88177671303349	3.21375914711853	78900530.0	90.0	28.999999999999996	2.0	0	0	3
P33410_1018-L003							1.03184	0.951332	10469631841.0	79010834.0	0.410837	98.7800412363875	27.200215616013264														
P33410_1018-L003.md														0.010169													
P33410_1018-L003_1	3.061794607519957	42.0	151.0	151	18.181818181818183	39993319.0																					
P33410_1018-L003_2	3.313652700569776	42.0	151.0	151	18.181818181818183	39993319.0																					
P33410_1018.md															0.004062755	0.0	78992295.0	99.97653612920982	95.97101329167086	3.062491404659771	79010834.0	89.0	28.999999999999996	2.0	0	0	3
P33410_1019-L003							0.992611	0.949865	10401082968.0	78982546.0	0.411928	98.74647281542724	28.65196456013565														
P33410_1019-L003.md														0.010144													
P33410_1019-L003_1	3.320538206574142	42.0	151.0	151	18.181818181818183	39992591.0																					
P33410_1019-L003_2	3.585451693056058	42.0	151.0	151	18.181818181818183	39992591.0																					
P33410_1019.md															0.004281931	0.0	78961515.0	99.9733725980421	95.85981186273736	3.640757541545951	78982546.0	65.0	32.0	8.0	0	0	3
P33410_1020-L003							1.19352	0.952522	10554436243.0	78986298.0	0.40649	98.73097686524419	24.493732220341368														
P33410_1020-L003.md														0.013255													
P33410_1020-L003_1	3.4113446014959408	41.0	151.0	151	18.181818181818183	40000768.0																					
P33410_1020-L003_2	3.6643162580375446	41.0	151.0	151	18.181818181818183	40000768.0																					
P33410_1020.md															0.004097191	0.0	78957368.0	99.96337339420566	95.51445492482759	2.7499149282828776	78986298.0	76.0	32.0	6.0	0	0	3
P33410_1021-L003							1.01528	0.950122	10409953175.0	78957716.0	0.409285	98.71406459067083	27.623638441628895														
P33410_1021-L003.md														0.010291													
P33410_1021-L003_1	3.009678717211955	42.0	151.0	151	18.181818181818183	39993144.0																					
P33410_1021-L003_2	3.320401865334148	42.0	151.0	151	18.181818181818183	39993144.0																					
P33410_1021.md															0.004229069	0.0	78936879.0	99.97360992559614	95.87957686111388	3.2439540171096133	78957716.0	90.0	28.999999999999996	2.0	0	0	3
P33410_1022-L003							1.05869	0.949994	10457948058.0	78959454.0	0.414028	98.7166669542172	26.921615223875595														
P33410_1022-L003.md														0.010965													
P33410_1022-L003_1	2.890363564925309	42.0	151.0	151	18.181818181818183	39992970.0																					
P33410_1022-L003_2	3.207485404665249	42.0	151.0	151	18.181818181818183	39992970.0																					
P33410_1022.md															0.004093881	0.0	78940120.0	99.97551401507918	95.99069162762954	2.985056102338296	78959454.0	89.0	28.999999999999996	3.0	0	0	3
P33410_1024-L003							1.1177700000000002	0.951017	10484802640.0	79014582.0	0.411283	98.78583854536667	27.616867146990632														
P33410_1024-L003.md														0.011137													
P33410_1024-L003_1	2.6500681056517124	41.0	151.0	151	18.181818181818183	39992869.0																					
P33410_1024-L003_2	2.889926681631323	42.0	151.0	151	18.181818181818183	39992869.0																					
P33410_1024.md															0.003912255	0.0	78999404.0	99.98079088743391	96.52656012278847	2.590553475306621	79014582.0	90.0	30.0	2.0	0	0	3
