Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103
P33410_1012	100.0	84.479	72.04700000000001	57.06	44.26	33.051	24.227	17.395	12.328	8.639	6.006	4.15	2.858	1.965	1.351	0.9299999999999999	0.641	0.445	0.31	0.218	0.155	0.11100000000000002	0.08	0.059000000000000004	0.044000000000000004	0.033	0.025	0.02	0.016	0.013	0.011000000000000001	0.009000000000000001	0.008																																																																							
P33410_1013	100.0	85.57000000000001	73.06899999999999	57.732000000000006	44.244	32.375	23.057	15.947	10.802	7.175	4.698	3.039	1.949	1.244	0.791	0.502	0.321	0.20600000000000002	0.134	0.089	0.06	0.042	0.03	0.022000000000000002	0.017	0.013	0.011000000000000001	0.009000000000000001	0.008																																																																											
P33410_1014	100.0	84.261	71.743	56.532000000000004	43.544	32.157000000000004	23.239	16.38	11.358	7.754	5.236	3.5029999999999997	2.328	1.54	1.0170000000000001	0.672	0.445	0.296	0.199	0.135	0.093	0.065	0.047	0.034	0.026	0.02	0.016	0.013	0.011000000000000001	0.01	0.008																																																																									
P33410_1015	100.0	84.617	72.194	56.762	43.594	31.967000000000002	22.912	15.967999999999998	10.935	7.356	4.89	3.215	2.1	1.366	0.8869999999999999	0.577	0.376	0.247	0.164	0.11	0.075	0.053	0.038	0.027999999999999997	0.022000000000000002	0.017	0.013999999999999999	0.012	0.01	0.009000000000000001																																																																										
P33410_1016	100.0	83.438	71.288	56.933	44.273	33.156	24.247	17.307	12.132	8.363	5.6899999999999995	3.8280000000000003	2.556	1.694	1.119	0.737	0.486	0.321	0.214	0.14300000000000002	0.097	0.067	0.047	0.034	0.025	0.019	0.015	0.012	0.01	0.009000000000000001																																																																										
P33410_1017	100.0	85.062	72.685	57.25	43.894	32.079	22.858999999999998	15.815000000000001	10.728	7.145	4.696	3.0540000000000003	1.973	1.27	0.8160000000000001	0.527	0.34299999999999997	0.22499999999999998	0.151	0.10300000000000001	0.07200000000000001	0.052	0.039	0.03	0.024	0.019	0.016	0.013999999999999999	0.012	0.011000000000000001	0.01	0.009000000000000001	0.008																																																																							
P33410_1018	100.0	84.456	72.229	57.042	43.99	32.426	23.369	16.393	11.302	7.661999999999999	5.133	3.405	2.243	1.47	0.962	0.629	0.413	0.272	0.181	0.122	0.083	0.058	0.041	0.03	0.023	0.018000000000000002	0.013999999999999999	0.012	0.01	0.009000000000000001																																																																										
P33410_1019	100.0	62.800999999999995	55.983000000000004	47.336	39.756	32.486	26.22	20.852	16.435	12.853	9.998999999999999	7.747	5.9830000000000005	4.61	3.5450000000000004	2.722	2.088	1.6	1.225	0.938	0.719	0.551	0.42300000000000004	0.325	0.25	0.194	0.15	0.117	0.092	0.073	0.058	0.047	0.038	0.031	0.026	0.022000000000000002	0.019	0.016	0.013999999999999999	0.012	0.011000000000000001	0.01	0.009000000000000001	0.008																																																												
P33410_1020	100.0	72.54599999999999	62.89900000000001	51.686	41.984	33.202	25.877	19.851	15.056	11.301	8.411	6.212	4.5600000000000005	3.328	2.419	1.7510000000000001	1.264	0.911	0.655	0.47200000000000003	0.33999999999999997	0.245	0.178	0.13	0.096	0.07100000000000001	0.054	0.041	0.032	0.025	0.021	0.017	0.013999999999999999	0.012	0.011000000000000001	0.009000000000000001	0.009000000000000001																																																																			
P33410_1021	100.0	84.898	72.495	57.142	43.858000000000004	32.128	22.942999999999998	15.911	10.812	7.2059999999999995	4.737	3.076	1.983	1.27	0.812	0.521	0.336	0.22	0.146	0.099	0.06899999999999999	0.05	0.037	0.029	0.023	0.02	0.017	0.015	0.013	0.012	0.011000000000000001	0.01	0.009000000000000001	0.009000000000000001	0.008																																																																					
