Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102
P33410_1012	15.521	12.431999999999988	14.987000000000009	12.800000000000004	11.208999999999996	8.824000000000002	6.832000000000001	5.067	3.689	2.632999999999999	1.8559999999999999	1.2920000000000003	0.893	0.6140000000000001	0.42100000000000004	0.2889999999999999	0.196	0.135	0.092	0.063	0.043999999999999984	0.031000000000000014	0.020999999999999998	0.015	0.011000000000000003	0.008	0.005000000000000001	0.004	0.003000000000000001	0.0019999999999999983	0.002	0.0010000000000000009																																																																							
P33410_1013	14.429999999999993	12.501000000000019	15.336999999999982	13.488000000000007	11.869	9.318000000000001	7.109999999999999	5.145	3.627	2.4769999999999994	1.6590000000000003	1.09	0.7050000000000001	0.45299999999999996	0.28900000000000003	0.181	0.11499999999999999	0.07200000000000001	0.04500000000000001	0.028999999999999998	0.017999999999999995	0.012000000000000004	0.007999999999999997	0.005000000000000001	0.004000000000000002	0.0019999999999999983	0.002	0.0010000000000000009																																																																											
P33410_1014	15.739000000000004	12.518	15.210999999999991	12.988000000000007	11.386999999999993	8.918000000000003	6.859000000000002	5.0219999999999985	3.604000000000001	2.518	1.733	1.1749999999999998	0.7879999999999998	0.5229999999999999	0.3450000000000001	0.22700000000000004	0.14900000000000002	0.09699999999999998	0.064	0.04200000000000001	0.027999999999999997	0.018000000000000002	0.012999999999999998	0.008000000000000004	0.005999999999999998	0.004	0.003000000000000001	0.0019999999999999983	0.0010000000000000009	0.002																																																																									
P33410_1015	15.382999999999996	12.423000000000002	15.432000000000002	13.168	11.626999999999999	9.055000000000003	6.944000000000001	5.032999999999998	3.5790000000000006	2.466	1.6749999999999998	1.1149999999999998	0.734	0.4790000000000002	0.30999999999999994	0.20099999999999996	0.129	0.08299999999999999	0.054000000000000006	0.035	0.022	0.015	0.010000000000000002	0.005999999999999995	0.005000000000000001	0.0030000000000000027	0.0019999999999999983	0.002	0.0009999999999999992																																																																										
P33410_1016	16.561999999999998	12.150000000000006	14.354999999999997	12.659999999999997	11.117000000000004	8.908999999999999	6.940000000000001	5.174999999999999	3.769	2.673	1.8619999999999992	1.2720000000000002	0.8620000000000001	0.575	0.382	0.251	0.16499999999999998	0.10700000000000001	0.07099999999999998	0.04600000000000001	0.03	0.020000000000000004	0.012999999999999998	0.009000000000000001	0.006000000000000002	0.004	0.002999999999999999	0.002	0.0009999999999999992																																																																										
P33410_1017	14.938000000000002	12.376999999999995	15.435000000000002	13.356000000000002	11.814999999999998	9.220000000000002	7.043999999999997	5.0870000000000015	3.583	2.449	1.6419999999999995	1.0810000000000002	0.7030000000000001	0.45399999999999996	0.28900000000000003	0.18400000000000005	0.118	0.07399999999999998	0.04799999999999999	0.031	0.02000000000000001	0.012999999999999998	0.009000000000000001	0.005999999999999998	0.005000000000000001	0.002999999999999999	0.0020000000000000018	0.0019999999999999983	0.0009999999999999992	0.0010000000000000009	0.0009999999999999992	0.0010000000000000009																																																																							
P33410_1018	15.543999999999997	12.227000000000004	15.186999999999998	13.052	11.564	9.057000000000002	6.975999999999999	5.091000000000001	3.6400000000000006	2.528999999999999	1.7280000000000002	1.162	0.7729999999999999	0.508	0.33299999999999996	0.21600000000000003	0.14099999999999996	0.09100000000000003	0.059	0.03899999999999999	0.025	0.017	0.011000000000000003	0.006999999999999999	0.0049999999999999975	0.0040000000000000036	0.0019999999999999983	0.002	0.0009999999999999992																																																																										
P33410_1019	37.199000000000005	6.817999999999991	8.647000000000006	7.579999999999998	7.270000000000003	6.265999999999998	5.3679999999999986	4.417000000000002	3.581999999999999	2.854000000000001	2.251999999999999	1.7639999999999993	1.3730000000000002	1.065	0.8230000000000004	0.6339999999999999	0.488	0.375	0.28700000000000014	0.21899999999999997	0.16799999999999993	0.128	0.09800000000000003	0.07500000000000001	0.055999999999999994	0.04400000000000001	0.03299999999999999	0.02500000000000001	0.019000000000000003	0.014999999999999993	0.011000000000000003	0.009000000000000001	0.006999999999999999	0.005000000000000001	0.003999999999999997	0.0030000000000000027	0.002999999999999999	0.0020000000000000018	0.0019999999999999983	0.0009999999999999992	0.0010000000000000009	0.0009999999999999992	0.0010000000000000009																																																												
P33410_1020	27.454000000000008	9.646999999999984	11.213000000000008	9.701999999999998	8.782000000000004	7.324999999999999	6.026	4.795	3.754999999999999	2.8900000000000006	2.199	1.6519999999999992	1.2320000000000007	0.9089999999999998	0.6679999999999999	0.4870000000000001	0.353	0.256	0.183	0.13200000000000006	0.09499999999999997	0.067	0.04799999999999999	0.034	0.024999999999999994	0.017000000000000008	0.012999999999999998	0.009000000000000001	0.006999999999999999	0.004	0.004	0.0030000000000000027	0.0019999999999999983	0.0009999999999999992	0.002	0.0																																																																			
P33410_1021	15.102000000000004	12.402999999999992	15.353000000000002	13.283999999999999	11.730000000000004	9.185000000000002	7.031999999999998	5.099	3.606	2.4689999999999994	1.661	1.093	0.7130000000000001	0.45799999999999996	0.29100000000000004	0.185	0.11600000000000002	0.07400000000000001	0.046999999999999986	0.030000000000000013	0.01899999999999999	0.013000000000000005	0.007999999999999997	0.006000000000000002	0.002999999999999999	0.002999999999999999	0.0020000000000000018	0.002	0.0009999999999999992	0.0009999999999999992	0.0010000000000000009	0.0009999999999999992	0.0	0.0010000000000000009																																																																					
